,name,route_name,station,route,latitude,longitude,id
9437,朱辛庄,昌平线,37,94,40.10182891,116.30457460000001,805
9439,生命科学园,昌平线,39,94,40.09083712,116.2831461,9439
9441,西二旗,昌平线,41,94,40.0508816,116.29850659999998,1331
9319,公益西桥,大兴线,19,93,39.83399503,116.36577539999999,467
9321,新宫,大兴线,21,93,39.80970404,116.3607086,9321
9323,西红门,大兴线,23,93,39.78743059,116.3240477,9323
9325,高米店北,大兴线,25,93,39.77537163,116.3257064,9325
9327,高米店南,大兴线,27,93,39.76264753,116.3276044,9327
9329,枣园,大兴线,29,93,39.7527256,116.32815590000001,9329
9331,清源路,大兴线,31,93,39.74055148,116.3286125,9331
9333,黄村西大街,大兴线,33,93,39.73000648,116.3288898,9333
9335,黄村火车站,大兴线,35,93,39.71986824,116.32786840000001,9335
9337,义和庄,大兴线,37,93,39.71014323,116.31588190000001,9337
9339,生物医药基地,大兴线,39,93,39.6854517,116.3181656,9339
9341,天宫院,大兴线,41,93,39.66662405,116.3159733,9341
9521,郭公庄,房山线,21,95,39.81199012,116.29662009999998,945
9523,大葆台,房山线,23,95,39.805315500000006,116.2876149,9523
9525,稻田,房山线,25,95,39.79117232,116.21322909999999,9525
9527,长阳,房山线,27,95,39.76129238,116.2084112,9527
9529,篱笆房,房山线,29,95,39.75829826,116.1857023,9529
9531,广阳城,房山线,31,95,39.74555324,116.18045049999999,9531
9533,良乡大学城北,房山线,33,95,39.73015858,116.1800729,9533
9535,良乡大学城,房山线,35,95,39.720769,116.1743061,9535
9537,良乡大学城西,房山线,37,95,39.72025988,116.1548703,9537
9539,良乡南关,房山线,39,95,39.72092988,116.14184640000002,9539
9541,苏庄,房山线,41,95,39.72120609,116.11742079999999,9541
9821,东直门,机场快轨,21,98,39.9409781,116.4276075,214
9823,三元桥,机场快轨,23,98,39.96204437,116.453906,1027
9825,T2航站楼,机场快轨,25,98,40.07922234,116.5864598,9825
9827,T3航站楼,机场快轨,27,98,40.05380354,116.60872830000001,9827
9621,宋家庄,亦庄线,21,96,39.84346134,116.4228216,565
9623,肖村,亦庄线,23,96,39.83285405,116.44355230000001,9623
9625,小红门,亦庄线,25,96,39.82649444,116.4547004,9625
9627,旧宫,亦庄线,27,96,39.80604854,116.45633329999998,9627
9629,亦庄桥,亦庄线,29,96,39.80219532,116.47624909999999,9629
9631,亦庄文化园,亦庄线,31,96,39.8060185,116.48529350000001,9631
9633,万源街,亦庄线,33,96,39.80284941,116.49998319999999,9633
9635,荣京东街,亦庄线,35,96,39.79242124,116.5087216,9635
9637,荣昌东街,亦庄线,37,96,39.78210965,116.5175033,9637
9639,同济南路,亦庄线,39,96,39.77189856,116.535724,9639
9641,经海路,亦庄线,41,96,39.7840328,116.55946840000001,9641
9643,次渠南,亦庄线,43,96,39.79397826,116.57703479999999,9643
9645,次渠,亦庄线,45,96,39.80250264,116.5857051,9645
